,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,39.10,37.48,1.99,3.28,5.44,12.66,6.10,1.5,20.97,14120000000.0,13660000000.0,21.35,2.14,1.95,11.00,1.95,3590000000.0,1.5,485000000.0,1.12,63.10,1.80,2120000000.0,6.31,1660000000.0,3.94,12.62,42.05,1.5,0.26,85.00,2730000.0,1.10,0.90,2500000.0,N/A
1,N/A,N/A,aa,N/A,N/A,N/A,N/A,N/A,59.84,62.57,0.66,1.29,1.12,9.53,3.89,1.5,20.57,16059999999.999998,23090000000.0,10.43,1.09,0.97,6.70,0.97,4770000000.0,1.5,247000000.0,0.21,N/A,14.20,1880000000.0,1.54,8850000000.0,1.49,10.07,13.14,1.5,0.12,67.40,46110000.0,2.00,3.80,30530000.0,N/A
2,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,29.52,16.97,3.62,5.87,22.25,29.67,15.22,1.5,33.42,729960000000.0,733700000000.0,13.39,1.12,3.67,10.84,3.67,70540000000.0,1.5,44460000000.0,7.39,37.90,29.50,32659999999.999996,5.61,36400000000.0,1.13,21.17,125.32,1.5,0.05,62.10,65739999.99999999,1.10,1.10,72720000.0,N/A
3,N/A,N/A,abbv,N/A,N/A,N/A,N/A,N/A,861.71,51.83,4.56,52.15,8.89,29.67,13.05,1.5,12.51,90870000000.0,97500000000.0,11.49,0.84,4.89,14.54,4.89,15530000000.0,1.5,1760000000.0,1.10,N/A,6.70,8369999999.999999,5.25,15010000000.0,1.41,1.10,57.01,1.5,0.08,39.90,19480000.0,1.40,1.20,19970000.0,N/A
4,N/A,N/A,abc,N/A,N/A,N/A,N/A,N/A,112.87,734.58,0.20,13.90,0.03,0.98,3.39,1.5,551.86,24680000000.0,24380000000.0,21.41,2.23,0.20,17.33,0.20,2980000000.0,1.5,35150000.0,0.15,N/A,15.10,2300000000.0,10.47,2000000000.0,0.97,8.06,112.39,1.5,5.28,85.20,9950000.0,6.20,4.80,7440000.0,N/A
5,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,36.25,30.98,3.42,3.21,11.28,14.26,4.29,1.5,13.36,69610000000.0,72990000000.0,N/A,N/A,3.61,16.60,3.61,11030000000.0,1.5,1710000000.0,1.49,53.50,5.50,4460000000.0,2.96,7840000000.0,1.45,14.27,46.13,1.5,0.20,68.80,13690000.0,2.50,0.90,12790000.0,N/A
6,N/A,N/A,ace,N/A,N/A,N/A,N/A,N/A,25.51,13.21,1.89,1.23,14.88,18.52,2.30,1.5,57.13,36400000000.0,40710000000.0,11.55,1.89,2.12,11.13,2.12,5930000000.0,1.5,2850000000.0,8.42,44.40,6.90,3240000000.0,9.89,7550000000.0,0.44,90.02,111.20,1.5,0.65,92.30,3640000.0,3.30,1.10,3580000.0,N/A
7,N/A,N/A,aci,N/A,N/A,N/A,N/A,N/A,309.35,N/A,0.07,0.13,19.48,5.33,1.10,1.5,13.51,202020000.0,4380000000.0,N/A,0.17,1.53,17.33,1.53,370930000.0,1.5,558350000.0,2.63,N/A,6.20,983180000.0,4.63,5160000000.0,2.97,7.86,0.95,1.5,0.53,73.70,56350000.0,13.80,27.40,58180000.0,N/A
8,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,0.42,19.98,1.92,10.70,9.84,14.46,16.74,1.5,49.03,59160000000.0,54940000000.0,18.29,2.00,1.78,11.23,1.78,9680000000.0,1.5,3040000000.0,4.71,2.90,5.10,4059999999.9999995,6.49,27220000.0,1.47,8.75,94.18,1.5,0.32,83.30,18320000.0,7.70,2.90,16920000.0,N/A
9,N/A,N/A,act,N/A,N/A,N/A,N/A,N/A,54.86,N/A,6.04,2.78,12.48,8.35,1.81,1.5,59.46,79440000000.0,94730000000.0,14.02,0.94,7.25,24.30,7.25,6760000000.0,1.5,1630000000.0,7.42,N/A,46.00,251000000.0,0.94,15540000000.0,1.37,106.55,298.37,1.5,7.09,55.00,26270000.0,6.90,15.10,25030000.0,N/A
